ownerUsername,likesCount,commentsCount,caption,hashtags,url,firstComment,alt,timestamp,engagement_rate,caption_len,hashtags_list
humansofny,32950,664,"The first copies of Dear New York have arrived. This one is deeply personal; holding it in my hand is like holding three years of my life. it opens with a longform HONY story— think Tanqueray, think Detra, think Venus— except this time it’s the story of my own attempt to capture the people of this city. The book then expands into four hundred full-color portraits and stories. Unlike previous Humans of New York books: 75 percent of these stories have not been shared online. Dear New York was lovingly created to be the most special thing that’s ever come out of Humans of New York. It will make you think, it will make you laugh, it will make you cry. It’s my love letter to this city, and I can’t wait to share it with you this October. But if you could do me a favor: if you think you’ll be getting Dear New York this fall, consider locking in your order now. Preorders have never been more crucial to helping launch a book into the world. The book has yet to be heavily discounted, but I know Amazon and Barnes and Noble specifically will retroactively apply the inevitable future discounts to your order. Thanks everyone! Link in bio.",[],https://www.instagram.com/p/DLaI5yzuUwy/,لو تفكرون تتعاملون معهم تأكدوا من كل التفاصيل قبل الدفع,"Photo by Humans of New York on June 27, 2025.",2025-06-27 14:58:05+00:00,33.614,1142,[]
humansofny,674224,1232,"Eleven years ago I received a DM from some guy named Lin-Manuel Miranda. I’d never heard of him. He had about 30,000 Twitter followers at the time. He’d created a critically acclaimed show called ‘In The Heights,’ but I wasn’t fluent enough with Broadway for that to ring a bell. In his DM he told me to ‘holler’ at him if I ever came up to Washington Heights. A few weeks later, that’s exactly what I did. Why? Because I needed a Spanish interpreter, and I wanted to know if he’d consider accompanying me while I collected stories. Lin informed me that this would not be possible, because he’d just come home from the hospital with his newborn son. ‘Oh, really?’ I asked. And that’s how I randomly took the first portrait of the brand-new Miranda family. Lin mentioned at the time that he was working on ‘some play about Alexander Hamilton.’ Four months later Hamilton would have its off-Broadway premiere at the Public Theater. And well, the rest is history. I’ve always treasured this small intersection I had with Lin before the rocket ship took off. Not because I got to watch him change. But because I got to watch how little he changed. He’s remained the same good man I met that day: enamored with his newborn son, enamored with his wife, enamored with life. He’s gone on to compose music for so many celebrated films, modeling that zest for life to millions of children around the world— including my own. (I’m a Moana man myself, with all due respect to the Family Madrigal.) But what I’ve most admired about Lin is how much he supports other people. I’m not sure I’ve ever seen someone use their platform to so consistently highlight and uplift fellow artists. In that vein, he immediately agreed when I asked if he’d drop by Dear New York to play the Steinway Concert Grand. He spent days trying to lower my expectations. ‘I’m not a pianist,’ he said. ‘All I can do is noodle on the keys.’ And that’s exactly what he did this morning. He ‘noodled’ his way into the memories and lives of hundreds of very surprised people in Grand Central Station. Thank you @lin_manuel , for always reaching behind you to lift others up. And thank you for being such an important part of Dear New York.",[],https://www.instagram.com/p/DP11S4cEcsF/,I loved arriving in Grand Central and seeing this exhibit and hearing the student from Julliard tickling the ivories! Iconic!,"Photo shared by Humans of New York on October 15, 2025 tagging @grandcentralnyc, @hamiltonmusical, and @lin_manuel. May be an image of baby, people kissing, park and text.",2025-10-15 19:11:03+00:00,675.456,2197,[]
juilliardschool,20479,111,"Dear New York, 

We’re honored to be part of @HumansofNY's exhibition that turns Grand Central Station into a living tribute to the city’s people and stories.

From October 6–19, Juilliard students and alumni will perform 50-minute piano concerts under the celestial ceiling of @grandcentralnyc’s main concourse. Juilliard’s collaboration with Humans of New York is bringing hundreds of thousands of commuters and visitors into contact with unexpected, inspiring musical moments each day.

Performer lineup and schedule in bio. 

Love, 
Juilliard",[],https://www.instagram.com/p/DPfOZl1D8LP/,It was beautiful!,,2025-10-07 00:28:37+00:00,20.59,546,[]
humansofny,104200,752,"Dear New York closes on October 19th. It’s been the honor and joy of my life to see this take flight. It’s been a magical six days of community and connection, and we have some extra special moments coming in the final week. Thanks to all of you who have made the pilgrimage to Grand Central these last few days. And I hope to see many more of you as the clock ticks down to the closing ceremony next Sunday.  Note: The Vanderbilt Hall exhibit is closed today for a prescheduled event, but will reopen tomorrow and remain open until the conclusion of the installation.",[],https://www.instagram.com/p/DPq5ZpJDZw9/,Incredible 🔥,,2025-10-11 13:27:07+00:00,104.952,568,[]
humansofny,85162,350,"At 9:53 PM last night in Grand Central Station, an absolute shockwave was sent through the music world. At Dear New York Grand Central, six-year-old Whitney Guo Szakacs delivered what music critics could only breathlessly describe as ‘undoubtedly the greatest performance ever staged in a public transit hub by a six-year-old staying up past her bedtime.’ Following Whitney’s recent world debut for a crowd of twenty residents at the New Jewish Nursing Home, it seemed that her star could not climb any higher. Until she sat down at that Steinway Concert Grand in the center of the world and stunned onlookers with the one song she knows. A mighty song. A song played with such grace and beauty that it might as well have been a million songs. Whitney’s preparations for this big moment could only be described as Olympian. She took an hour-and-a-half nap, ate some Pad Thai, and said ‘I believe in myself’ nearly thirty times. When asked about her epoch-defining performance, Whitney remarked: ‘In the beginning it was scary. But it wasn’t scary at the end, because it was all done.’ Thank you, Whitney, for being such an important part of Dear New York.",[],https://www.instagram.com/p/DPr7mEuDVOM/,Such courage! Great job little one!,"Photo by Humans of New York on October 11, 2025. May be an image of text.",2025-10-11 22:53:42+00:00,85.512,1155,[]
humansofny,27249,525,"I'd like to offer a very special opportunity. This is not an opportunity for everyone-- but for someone, it will be a dream come true. As many of you know I am staging a public art installation in Grand Central from October 6th through October 19th, called Dear New York. It is the largest event in the 112-year history of Grand Central, and the entire building has been transformed into a piece of art celebrating the people of this city. 100 percent of advertising has been removed from the building and replaced with portraits and stories from Humans of New York. It was important to me, both spiritually and artistically, to share this iconic stage and canvas with other artists. I knew that Dear New York would never correctly represent New York unless its creators were as diverse as the work itself. In the end over 1000 artists contributed to Dear New York, making it one of the largest pieces of public art in history. Importantly, nobody was asked to work for free: Dear New York involved over $500,000 in direct payments to artists. Which finally brings us to the opportunity: as part of Dear New York, Steinway has donated a Model D Concert Grand, which has been placed in the center of Grand Central's main concourse. This is the most legendary piano in the world, in one of the world's most iconic public spaces. It is the rarest of events and God bless the secretly-artistic-souls at the MTA for allowing this civic gift. @juilliardschool has stepped up to provide musical programming for the entire two weeks of the installation. That is-- until 10 pm each night -- when this most legendary of pianos, in this most legendary of rooms, goes silent. In the spirit of Dear New York, I want to open this stage to other New York pianists. If you are interested in playing for one late-night hour, write to me at dearnysubmissions@gmail.com. Obviously this piano must be treated with great dignity and respect. Please include a link to a video of you playing. (Nothing that needs to be downloaded, please.) But more importantly: tell me what this experience would mean to you. Tell me why you love piano. Selected musicians will be paid $500 for a one hour shift. Please spread the word.",[],https://www.instagram.com/p/DPlv-baDR2v/,@amyraleon @kwami.wav,"Photo by Humans of New York on October 09, 2025. May be an image of 4 people, crowd, terminal and text.",2025-10-09 13:16:43+00:00,27.773999999999997,2197,[]
humansofny,143885,2188,"“I’ve been closely guarding a secret. But before I share it, a little context: fifteen years ago I moved to New York to begin Humans of New York. This city has provided me with the most blessed life any one person can ask for. And when I say ‘this city,’ I mean one thing: it’s people. For me, New York has always been the people. Many of you know that tomorrow my next book Dear New York will be released. It is my love letter to the city, and I’ve never been prouder of a work I’ve created—until now. Because here is my secret: the book is the inspiration for a much larger piece of art. For the next two weeks Grand Central Station will undergo the biggest transformation in its 112-year history, as it becomes a living, breathing celebration of the people of New York. All advertising has been removed from the building and replaced with portraits and stories from Humans of New York. But it doesn’t stop there. Grand Central was far too large a canvas for one person, so more than 1000 artists have joined me to contribute to this vision. Some of my collaborators have big reputations, such as @davidkorins, and @juilliardschool, and @pentagramdesign. But none of us are more important than the 600 school children who will exhibit their photography in Vanderbilt Hall. Dear New York is far too large to describe in one post; it will cover all of Grand Central, including all three levels of the subway station. You’ll be hearing much more about my collaborators and their contributions over these next two weeks. But for now I can tell you this: Dear New York was lovingly and carefully made, by some of the greatest people I’ve ever worked with. And if it provides even the slightest amount of joy, solace, beauty, or connection to the 750,000 people who pass through Grand Central every day—we have achieved our goal.”",[],https://www.instagram.com/p/DPfKaNODVKG/,"as a photographer myself, I appreciate your work and what you’re doing👏🏿🔥❤️","Photo by Humans of New York on October 06, 2025. May be an image of 2 people and text.",2025-10-06 23:53:01+00:00,146.073,1826,[]
humansofny,39198,332,"“We started with eight kids from the projects; my son and seven other kids. But that first year we grew to 75 kids. Now we’ve got different teams, different coaches. I pay for a lot of this stuff myself. It’s sad, because some of the parents… well, maybe they just don’t have money. Because I refuse to think that they don’t care. Because if you don’t care, and you just leave them in the street—so much can happen, so easily. And I don’t want that for them. I want them to do something with their life. They count on me. So if they count on me, if they’re able to show up, how does it look for me not to show up for them? I have to show up for them. I have to show up for them. Some of these kids have been with me four years. It’s been a great pleasure to watching them grow: going from not knowing how to catch, to knowing how to catch, to getting baseball ready. But baseball is just the vessel to get them in. As you can see, we don’t just come play baseball and leave. We barbecue every two weeks. We have a lot of events with the kids: trunk-or-treat, Christmas giveaways, birthday parties. It’s not just come play ball, I’ll see you next week. It’s everything. It’s a family. Let’s grow this into where you can have friends for the rest of your life. There’s a lot of troubled kids getting into fights and doing things like that. But if they become your friend, you don’t want to fight with your friend. You want to protect your friend.”",[],https://www.instagram.com/p/DOJjyUcDaA2/,"Inspirational, keep powering forward. I commend your efforts, the kids, parents see your effort and one day they will pay it forward m. God bless you, kids, parents, and volunteers to keep the efforts moving forward 🙏🏼","Photo by Humans of New York on September 03, 2025. May be an image of child, batting, softball, park and text that says 'ርኖ K Khiah d DarkKnight Knight Dark Krighits Hght K hiahts hinhts 蛋'.",2025-09-03 18:00:05+00:00,39.53,1445,[]
humansofny,115483,1008,"“We went to dinner and a movie every Tuesday night, until the day she died. Tuesday was our night. My gift back to the woman who gave me everything. My father had a very bad gambling addiction. People were knocking on our doors late at night, looking for money. So my mom took us kids out of the situation and started working two jobs. She’d take both a train and a bus to get into the city. Then she’d come back to the Bronx, make us dinner, and head straight to her job as a cashier. When I was sixteen years old, she got a $500 bonus for Christmas. She saw that I was becoming a man, so she bought me my first set of nice clothes. Spent the entire $500 on me. I did what I could to lessen her stress. I walked a very straight line: never drank, never did drugs. All that mattered to me was making sure she retired at a young age. I became a cop, I started paying all her bills. It was important to me that she never tax her body again. But I was a lousy cop. I was so soft that I couldn’t even write tickets. I ended up packing my bags and moving out to Vegas, hoping to get a restaurant job in one of the casinos. But nobody would hire me. I was getting desperate, down to my last $500. And that’s when my grandfather died. This man was like a father figure to me. I was heartbroken. I was out of money. And I couldn’t even tell my mother the truth, because I knew she’d start working again. It was a Sunday, and I happened to drive past a Catholic church that was being built. They were financing construction by selling plaques for $500. And look— I don’t force religion on anybody. Even my kids. But I do tell them: ‘Please, believe in something. Because your mother and I won’t be able to answer all your questions. Life will put you in situations that require something deeper.’ And all those years ago, on that Sunday in Vegas, I just believed with all my heart that Christ was on my side. So I took my last $500 and bought a plaque in honor of my grandfather. The next day I opened the paper and saw a job opening at a bistro. I bullshitted my way into the position, and twelve months later I was running four locations. Catherine Palladino never worked another day in her life.”",[],https://www.instagram.com/p/DPoZF1UjcHG/,what.a.heart…..heading to Palladino’s before Xmas,"Photo by Humans of New York on October 10, 2025. May be an image of 1 person, television, dinner jacket and text.",2025-10-10 13:54:29+00:00,116.49099999999999,2190,[]
humansofny,48306,338,"“To raise a son, not from her own body, for thirty years—nobody accepts this easily. But my biological mother was under a lot of stress; I was one of triplets. So my aunt volunteered to raise me as her own. She never got married; it was always just the two of us; that’s why I call her Mom. She was like an angel— she did everything for me, took care of every need. She used to pray for me all the time: ‘Allah yarda ʿalayk.’ This is difficult to translate, but it means: ‘May God be satisfied with you.’ All the time she prayed this. And God was listening. The rest of the family thought she spoiled me too much, and I would never amount to anything. For a while it seemed like they might be right. In university I tried to major in English commerce but I got stuck on it, and failed out of school. It made my Mom look bad. My other siblings were very committed, very religious— so it seemed like she had bad luck raising a kid. But she never gave up on me. She kept praying: ‘Allah yarda ʿalayk.’ When I changed my field to nursing, she tried to discourage me. She’d been a nurse her whole life, so she knew how difficult it was. But I told her: I want to be a nurse too, so I’ll always have something to remind me of you. I did my best and got very good grades. When I got a job at the hospital, I treated many of our relatives. They’d return home and tell my mom: ‘Wow. Yehya took care of us. He got us everything we needed.’ This is what she had always prayed for- for people to say good things about me. It’s all she ever wanted, and she got to see it. With my salary I helped her buy a new house. It’s gone now, it got bombed. But we were able to live there for two years together. She got to meet my daughter Zainab, who I named after her. She got to see all these things. She passed away right before the war, thank God. She would not have been able to handle it. And she died exactly how she wanted to die. It was sudden. Maybe a stroke, or an embolism that stuck in her heart. And I was there; I got to hold her in my arms as she passed away. If you’d have asked how she wanted to die, she would have told you: exactly this way. It’s what she always prayed for. And God was listening.”",[],https://www.instagram.com/p/DOEHPfFDSXm/,"The Original ☪️islam it Self ""Dying"" by it's ""Own Lie"" And ""Own Manupaltion in islamic scriptures and Books "". And That Lies And Manupaltion Exposing By 🩺💊#Exmuslim Movement⛑️ And This 🩺💊#Exmuslims Movement Full On Fire in Entire World ,watch videos on 🙏""YOUTUBE-TWITTER-INSTAGRAM-FACEBOOK""🙏Please Save Your Children And Family And Country From This Man Made Cult ""☪️Islam"" And ""Islam"" is Die Without Doing ""Lies"" & ""Sugar-Coated"" Islamic preaching.
----------------------------
Till date ""☪️islam breathing & survive system"" =
#1-Lies & Manipulation is Oxygen 
#2-Fooling humans is carbon dioxide
----------------------------
-->> ☪️who is worlds 1st "" 💊#EXMUSLIM""⛑️ And Why he is Become an 💊#Exmuslim at That time ?(1400 years ago)
--------------------------'
 #exmuslim #exmuslimbecause #exmuslims #exmuslimadamseeker #exmuslimzafarheretic #harrissultan #exmuslimonrise #exmuslimcommunity #exmuslimreaction #exmuslimscandinavia #exmuslimindia #exmuslimkerala #exmuslimswomen #exmuslimmemes #exmuslimatheist #exmuslimpakistan #exmuslimmovement #exmuslimawarenessmonth #exmuslimexposed #exmuslimamerican  #exmuslimuk #islam #muslim #Quran","Photo by Humans of New York on September 01, 2025. May be an image of one or more people and text.",2025-09-01 15:14:27+00:00,48.644,2196,[]
